Introduction to Coronavirus Flashcards (Coronavirus Flashcards)|TODO
Introduction to Chapter 1 Glossary of terms (Coronavirus Flashcards)|This chapter contains common terms on the topic listed in alphabetical order
3D Printing (Coronavirus Flashcards)|A method of manufacturing that builds the part layer by layer
Antibody (Coronavirus Flashcards)|TODO
Antigen (Coronavirus Flashcards)|TODO
Asymptomatic (Coronavirus Flashcards)|When someone is infected but does not exhibit symptoms
At-risk Medical Conditions (Coronavirus Flashcards)|Chronic lung disease or moderate to severe asthma, serious heart conditions, immunocompromisation, severe obesity (BMI >= 40), diabetes, chronic kidney disease requiring dialysis, and liver disease (CDC).
Bacteria (Coronavirus Flashcards)|TODO
CDC (Coronavirus Flashcards)|Acronym for the "Centers for Disease Control and Prevention"
COVID-19 (Coronavirus Flashcards)|A specific strain of Coronavirus that was discovered and genetically sequenced in 2019
Carrier (Coronavirus Flashcards)|TODO
Coronavirus (Coronavirus Flashcards)|A family of viruses that have gotten their name as they look like a crown under a microscope
DNR (Coronavirus Flashcards)|Acronym for "Do not resuscitate"
Endemic (Coronavirus Flashcards)|TODO
Epidemic (Coronavirus Flashcards)|TODO
Genome (Coronavirus Flashcards)|TODO
Genome Sequencing (Coronavirus Flashcards)|TODO
Immunocompromised (Coronavirus Flashcards)|Many conditions can cause people to become immunocompromised, where their immune system's ability to fight infectious disease and cancer is limited or nonexistent. These conditions include cancer treatment, smoking, bone marrow or organ transplantation, and poorly controlled HIV or AIDS (CDC).
Infected (Coronavirus Flashcards)|TODO
Infection (Coronavirus Flashcards)|TODO
Injection moulding (Coronavirus Flashcards)|A method of manufacturing which injections molten plastic into a mould
Just in time Manufacturing (Coronavirus Flashcards)|A method of manufacturing which produces a product just when it is needed which reduces cost of storage
Laboratory (Coronavirus Flashcards)|TODO
Mask (Coronavirus Flashcards)|TODO
Model (Coronavirus Flashcards)|A mathematical representation of a system that is used to analyse and predict a system
NHS (Coronavirus Flashcards)|National Health Service
NIOSH (Coronavirus Flashcards)|Acronym for National Institute for Occupational Safety and Health
Open source (Coronavirus Flashcards)|Open source means that the source files of a given product (usually where commercial use is allowed)
PAPR (Coronavirus Flashcards)|Acronym for Powered Air-Purifying Respirator
PCR (Coronavirus Flashcards)|Acronym for Polymerase Chain Reaction
Pandemic (Coronavirus Flashcards)|TODO
Presymptomatic (Coronavirus Flashcards)|TODO
Quarantine (Coronavirus Flashcards)|TODO
R0 (Coronavirus Flashcards)|The base reproductive rate in an SIR Model, it is the number of people that an infected person passes the disease onto
Reagent (Coronavirus Flashcards)|TODO
Respirator (Coronavirus Flashcards)|TODO
RNA (Coronavirus Flashcards)|Acronym for Ribonucleic acid
SIR Model (Coronavirus Flashcards)|A mathematical that is used to model the spread of a disease
Social distancing (Coronavirus Flashcards)|An idea where you choose to avoid other people to reduce the spread of a disease
Spillover infection (Coronavirus Flashcards)|When a disease mutates to become infectious for other species
Surgical Mask (Coronavirus Flashcards)|TODO
Susceptible (Coronavirus Flashcards)|Someone who does not have a disease but is likely to obtain
Symptom (Coronavirus Flashcards)|TODO
Symptomatic (Coronavirus Flashcards)|TODO
Vaccine (Coronavirus Flashcards)|TODO
Vector (Coronavirus Flashcards)|In virology this is something that transmits the spread of a disease, in mathematics it is an object which has magnitude and direction
Ventilator (Coronavirus Flashcards)|A medical device that helps someone breath when they can't themselves
Virus (Coronavirus Flashcards)|TODO
WHO (Coronavirus Flashcards)|Acronym for World Health Organisation
Zoonosis (Coronavirus Flashcards)|When a disease becomes infectious between species
